SK_ID_CURR,TARGET,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,TOTALAREA_MODE,DEF_30_CNT_SOCIAL_CIRCLE,FLAG_DOCUMENT_3,AMT_REQ_CREDIT_BUREAU_YEAR,CODE_GENDER
373960,0,0,180000.0,500211.0,29916.0,463500.0,0.030755,-10796,-1733,-3269.0,-3452,3.0,1,1,0,1,0,0,1.0,2,2,11,0,0,0,0,0,0,0.1897248606804104,0.5884771887926155,0.5832379256761245,0.1987,0.0,0,0.0,1.0
160661,0,1,157500.0,770292.0,30676.5,688500.0,0.010032,-13441,-3078,-1534.0,-4275,14.0,1,1,0,1,1,0,3.0,2,2,10,0,0,0,0,0,0,0.5059979305057544,0.7256615848253485,0.8050196619153701,0.1207,0.0,1,0.0,1.0
188121,1,0,112500.0,536917.5,32976.0,463500.0,0.020713,-14267,-369,-2137.0,-2208,14.0,1,1,0,1,0,0,2.0,3,3,14,0,0,0,0,0,0,0.5181997494795519,0.2401800901595524,0.7062051096536562,0.0688,0.0,1,2.0,0.0
137008,0,0,112500.0,225000.0,22252.5,225000.0,0.010006,-22196,365243,-6344.0,-4946,9.0,1,0,0,1,1,0,1.0,2,2,10,0,0,0,0,0,0,0.7442014443878029,0.6149351379338772,0.4170996682522097,0.1193,0.0,0,1.0,0.0
117017,0,1,135000.0,225000.0,17905.5,225000.0,0.0145199999999999,-12920,-2222,-524.0,-2419,9.0,1,1,0,1,0,0,3.0,2,2,13,0,0,0,0,0,0,0.5030126367312274,0.2318881971357951,0.6263042766749393,0.0688,0.0,1,1.0,0.0
230207,0,2,180000.0,1174977.0,34483.5,1026000.0,0.025164,-18459,-2937,-14447.0,-1723,13.0,1,1,0,1,1,0,4.0,2,2,9,0,0,0,0,0,0,0.7659789041066132,0.7062605776761549,0.0950703958413326,0.0688,0.0,1,0.0,0.0
213293,0,0,112500.0,161730.0,11632.5,135000.0,0.01885,-23437,365243,-9793.0,-1462,9.0,1,0,0,1,0,0,2.0,2,2,10,0,0,0,0,0,0,0.5059979305057544,0.6270345111470038,0.722392890081304,0.002,0.0,0,0.0,1.0
410799,0,0,360000.0,180000.0,14220.0,180000.0,0.002506,-17170,-6363,-5139.0,-725,6.0,1,1,0,1,0,0,1.0,2,2,4,0,0,0,0,0,0,0.7520709789267598,0.1169010220513679,0.5867400085415683,0.0688,1.0,0,3.0,1.0
214626,0,1,135000.0,178290.0,17761.5,157500.0,0.01885,-20150,-1342,-3834.0,-3700,64.0,1,1,0,1,0,0,2.0,2,2,15,0,0,0,0,0,0,0.6503143468135169,0.6943102099692318,0.6817058776720116,0.0626,0.0,1,1.0,0.0
153471,0,0,108000.0,481495.5,34371.0,454500.0,0.018029,-23407,365243,-15053.0,-5246,9.0,1,0,0,1,0,0,2.0,3,3,8,0,0,0,0,0,0,0.5059979305057544,0.1576737080460761,0.3944954053123993,0.0589,0.0,1,1.0,0.0
287273,0,0,90000.0,343800.0,12478.5,225000.0,0.030755,-18588,-3513,-11152.0,-2132,9.0,1,1,0,1,0,0,2.0,2,2,9,0,0,0,0,0,0,0.5059979305057544,0.7939262208022151,0.8083935912119442,0.0766,0.0,1,1.0,1.0
373800,0,0,171000.0,450000.0,24543.0,450000.0,0.009334,-16828,-3086,-6972.0,-343,20.0,1,1,0,1,1,0,2.0,2,2,12,0,0,0,0,0,0,0.5059979305057544,0.5172977022570941,0.5298898341969072,0.0088,0.0,1,1.0,1.0
455475,0,1,247500.0,592560.0,35937.0,450000.0,0.04622,-10923,-367,-1869.0,-1912,9.0,1,1,0,1,0,0,3.0,1,1,11,1,1,0,1,1,0,0.5059979305057544,0.3425004196962275,0.5352762504724826,0.0688,0.0,1,1.0,1.0
399490,1,0,180000.0,1014790.5,54198.0,913500.0,0.018801,-20356,-291,-2395.0,-3786,0.0,1,1,0,1,0,0,2.0,2,2,7,0,0,0,0,0,0,0.5059979305057544,0.5317491068400025,0.5352762504724826,0.1411,0.0,1,1.0,1.0
269827,0,0,90000.0,1206954.0,35419.5,945000.0,0.018801,-22158,365243,-378.0,-4472,9.0,1,0,0,1,0,0,2.0,2,2,8,0,0,0,0,0,0,0.5059979305057544,0.4464412346786916,0.7151031019926098,0.3567,0.0,0,2.0,1.0
263557,0,1,67500.0,199080.0,15858.0,157500.0,0.031329,-8028,-897,-3190.0,-684,64.0,1,1,0,1,0,0,3.0,2,2,14,0,0,0,0,0,0,0.5059979305057544,0.5215445043622058,0.5460231970049609,0.0688,0.0,1,0.0,0.0
227638,1,0,247500.0,585000.0,35919.0,585000.0,0.003813,-19001,-1716,-9351.0,-2312,9.0,1,1,0,1,1,0,2.0,2,2,15,0,0,0,0,0,0,0.5059979305057544,0.2918769477534616,0.5136937663039473,0.0688,0.0,1,5.0,0.0
